dateq,equally weighted
2000-01-01,99.39207762
2000-04-01,100.668112
2000-07-01,100.1173667
2000-10-01,99.82244365
2001-01-01,100.0428223
2001-04-01,99.90667819
2001-07-01,100.3547887
2001-10-01,101.0334377
2002-01-01,102.0921732
2002-04-01,103.3256869
2002-07-01,105.0565245
2002-10-01,105.0403893
2003-01-01,105.9588032
2003-04-01,107.3760283
2003-07-01,108.9116326
2003-10-01,111.125261
2004-01-01,113.8003206
2004-04-01,115.7038716
2004-07-01,117.1648312
2004-10-01,118.9984548
2005-01-01,121.2704062
2005-04-01,123.2470869
2005-07-01,125.1363298
2005-10-01,127.2086746
2006-01-01,128.9521616
2006-04-01,131.3416686
2006-07-01,133.8976139
2006-10-01,136.8180878
2007-01-01,139.413033
2007-04-01,142.2799664
2007-07-01,144.4292072
2007-10-01,144.8303922
2008-01-01,144.22957
2008-04-01,144.1884113
2008-07-01,143.0723811
2008-10-01,139.6424746
2009-01-01,135.4611634
2009-04-01,134.2670667
2009-07-01,134.9107813
2009-10-01,135.1251616
2010-01-01,135.7235953
2010-04-01,136.3944892
2010-07-01,136.3608869
2010-10-01,135.5744243
2011-01-01,134.8303791
2011-04-01,134.9668223
2011-07-01,134.7510817
2011-10-01,133.3273307
2012-01-01,133.2978632
2012-04-01,133.6335982
2012-07-01,133.732842
2012-10-01,133.569619
2013-01-01,133.6029271
2013-04-01,134.7148848
2013-07-01,135.5176407
2013-10-01,136.032558
2014-01-01,136.8992186
2014-04-01,138.3356132
2014-07-01,139.2293251
2014-10-01,139.5347578
2015-01-01,141.0382411
2015-04-01,142.1162025
2015-07-01,143.1002707
2015-10-01,143.4563058
2016-01-01,144.7064534
2016-04-01,146.5833728
2016-07-01,148.1982264
2016-10-01,149.1423781
2017-01-01,149.4473833
2017-04-01,151.5966817
2017-07-01,152.8171872
2017-10-01,153.1915685
2018-01-01,154.1839297
2018-04-01,155.449255
2018-07-01,156.0098953
2018-10-01,156.1862805
2019-01-01,157.2031759
2019-04-01,157.9761202
2019-07-01,159.3880829
2019-10-01,160.0066198
2020-01-01,161.7671238
2020-04-01,163.7716603
2020-07-01,164.7024464
2020-10-01,167.1901385
2021-01-01,169.5304931
2021-04-01,172.4859914
2021-07-01,174.6937932
2021-10-01,176.0585329
